Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2003:Q3,Next40,16290021,20557048,8068471,1538369,1419544,3827370,1569407,1142253,2991634,4267027,3389408,795260,82359
2003:Q3,Bottom50,1225939,4088805,2228013,804572,82970,205761,202083,81056,484350,2862866,1751287,1067266,44313
2003:Q4,TopPt1,4675804,4731040,554418,231875,1503954,34600,43762,1103343,1259089,55237,33449,6421,15367
2003:Q4,RemainingTop1,8041320,8533780,1842301,306775,2241308,263200,363849,1772829,1743518,492460,333214,27938,131308
2003:Q4,Next9,17599349,19142738,4794417,768882,3061838,4097929,1651961,1648262,3119449,1543389,1237049,171711,134629
2003:Q4,Next40,16731902,21125436,8270234,1558556,1535029,3858461,1692956,1169187,3041013,4393534,3504124,809485,79925
2003:Q4,Bottom50,1242804,4173531,2281336,811513,89479,207243,214359,82773,486828,2930726,1807039,1087376,36311
2004:Q1,TopPt1,5039855,5097540,578467,247594,1625307,34732,44217,1144409,1422814,57685,35079,6450,16156
2004:Q1,RemainingTop1,8499739,9009119,1937272,298321,2374312,251113,365179,1829586,1953337,509381,342491,28494,138396
2004:Q1,Next9,18484810,20054141,4988851,784499,3202833,4217958,1701695,1688980,3469326,1569331,1261842,171621,135868
2004:Q1,Next40,17394695,21880548,8605670,1584385,1575404,3919724,1722847,1205979,3266538,4485853,3607508,802269,76076
2004:Q1,Bottom50,1270384,4240291,2323732,822967,89896,209979,214850,84307,494560,2969906,1842781,1087639,39486
2004:Q2,TopPt1,5141072,5202732,601087,245310,1636816,37221,44719,1247196,1390383,61661,37521,6796,17344
2004:Q2,RemainingTop1,8628599,9155095,2008811,293654,2379001,261697,364645,1918097,1929190,526496,351056,29025,146415
2004:Q2,Next9,18736969,20366221,5116031,816173,3145044,4304286,1735371,1790008,3459308,1629252,1313674,175244,140334
2004:Q2,Next40,17633648,22264625,8880495,1609284,1539156,3984619,1742418,1260297,3248356,4630977,3750540,806715,73722
2004:Q2,Bottom50,1306725,4355918,2439175,830693,83945,210103,214432,85505,492065,3049192,1907449,1096760,44983
2004:Q3,TopPt1,5334189,5395947,624635,264269,1662838,39684,44491,1353808,1406221,61757,39378,7473,14906
2004:Q3,RemainingTop1,8871820,9410166,2103126,283503,2400192,272720,360236,2008801,1981588,538347,362318,30024,146005
2004:Q3,Next9,19198083,20865853,5357897,821065,3108913,4393816,1760129,1894624,3529409,1667770,1350546,183441,133783
2004:Q3,Next40,17941974,22712368,9180632,1623143,1510392,4051517,1745561,1315694,3285429,4770394,3881957,825038,63399
2004:Q3,Bottom50,1288206,4421171,2506785,835880,78470,210261,211705,86675,491395,3132965,1971205,1118899,42861
2004:Q4,TopPt1,5608142,5671832,644800,255274,1842439,49625,50067,1397998,1431629,63690,39823,7525,16342
2004:Q4,RemainingTop1,9219735,9753841,2162112,294417,2591763,296964,400180,2008598,1999808,534106,363660,30198,140248
2004:Q4,Next9,20034362,21795135,5543755,839697,3385324,4476144,1883517,1987323,3679376,1760773,1418772,190516,151485
2004:Q4,Next40,18554642,23428522,9491578,1647478,1594028,4118826,1864761,1306742,3405109,4873880,3951636,848861,73383
2004:Q4,Bottom50,1331946,4617450,2625286,861354,86947,210785,228883,94614,509581,3285504,2085258,1143020,57226
2005:Q1,TopPt1,5695618,5755505,662460,253767,1866588,60475,52302,1449991,1409922,59888,38550,6323,15015
2005:Q1,RemainingTop1,9312882,9849498,2216125,303270,2604649,316973,411741,2012766,1983974,536615,374443,32569,129603
2005:Q1,Next9,20394612,22179729,5776067,847406,3388388,4515916,1879177,2087467,3685308,1785116,1450068,185599,149449
2005:Q1,Next40,18810727,23721919,9735389,1665730,1574825,4156257,1851606,1300090,3438022,4911192,4004031,833460,73701
2005:Q1,Bottom50,1356833,4782448,2743996,884966,87036,210028,230116,102484,523822,3425614,2221928,1147022,56664
2005:Q2,TopPt1,5945811,6007758,683006,264927,1952559,71249,55965,1552508,1427544,61947,38905,5951,17091
2005:Q2,RemainingTop1,9566007,10102779,2282440,309754,2686393,338225,436033,2043362,2006572,536771,377293,33286,126192
2005:Q2,Next9,21049895,22912316,6069030,844834,3496406,4564920,1933436,2237227,3766462,1862421,1522559,188133,151729
2005:Q2,Next40,19136190,24141964,9949418,1686350,1592591,4199957,1896844,1308016,3508788,5005773,4084262,842693,78818
2005:Q2,Bottom50,1367606,4946144,2850402,912495,90391,209496,238331,110094,534936,3578538,2356679,1162326,59533
2005:Q3,TopPt1,6193379,6256492,702665,252506,2095705,82166,60650,1672274,1390526,63113,39299,5813,18001
2005:Q3,RemainingTop1,9832838,10366607,2336483,320423,2830610,359475,465457,2083281,1970878,533769,379930,34000,119839
2005:Q3,Next9,21687548,23633102,6301989,857574,3700728,4611430,1997875,2403994,3759512,1945554,1597524,193436,154594
2005:Q3,Next40,19534057,24644021,10249360,1696993,1643275,4241732,1962270,1321037,3529354,5109964,4166219,860631,83114
2005:Q3,Bottom50,1433217,5175734,3021538,930419,96781,208850,249516,117628,551002,3742516,2495020,1184505,62991
2005:Q4,TopPt1,6366597,6431180,714613,240728,2153147,93156,64852,1735953,1428730,64583,39610,5682,19291
2005:Q4,RemainingTop1,10032321,10562207,2380733,331372,2877306,381039,492531,2094442,2004784,529886,381241,34396,114249
2005:Q4,Next9,22186308,24199568,6496358,872038,3754171,4658552,2057490,2515276,3845682,2013260,1667553,198375,147332
